"T_label","method_label","first_rejection_date","trading_gap_from_2020_03_16","stat_over_cv"
"1","RSMS MultiscaleMOSUM (H050_100_200, Equal)",2020-01-31,-30,22.6670665653094
"1","RSMS WeightedCUSUM (gamma=0.15, InvSqrt)",2020-02-24,-15,43.320305262489
"1","RSMS WeightedCUSUM (gamma=0, InvSqrt)",2020-02-24,-15,30.6228319636128
"1","RSMS PageCUSUM (gamma=0.15)",2020-02-26,-13,19.7038065434997
"1","RSMS PageCUSUM (gamma=0)",2020-02-26,-13,14.9232672449151
"1","RSMS FullCUSUM (gamma=0)",2020-02-26,-13,2.00547807471008
"1","RSMS FullCUSUM (gamma=0.15)",2020-02-26,-13,1.91515591557322
"1","RSMS MOSUM (h=0.2)",2020-02-27,-12,24.3874170290589
"1","HAC WeightedCUSUM (gamma=0.15, InvSqrt)",2020-02-27,-12,14.9640709652695
"1","RSMS MOSUM (h=0.1)",2020-02-27,-12,12.7774063116612
"1","HAC WeightedCUSUM (gamma=0, InvSqrt)",2020-02-27,-12,7.97684836236888
"1","HAC MultiscaleMOSUM (H050_100_200, Equal)",2020-02-27,-12,7.50712023873862
"1","HAC PageCUSUM (gamma=0.15)",2020-03-02,-10,5.46323946758793
"1","HAC MOSUM (h=0.1)",2020-03-02,-10,5.46271597050033
"1","HAC PageCUSUM (gamma=0)",2020-03-02,-10,4.33591380116485
"1","HAC MOSUM (h=0.2)",2020-03-06,-6,5.46884259167223
"2","RSMS MultiscaleMOSUM (H050_100_200, Equal)",2020-01-31,-30,74.0718871169495
"2","RSMS WeightedCUSUM (gamma=0.15, InvSqrt)",2020-02-24,-15,47.3263855679015
"2","RSMS WeightedCUSUM (gamma=0, InvSqrt)",2020-02-26,-13,31.4711297441234
"2","RSMS PageCUSUM (gamma=0.15)",2020-02-26,-13,16.6658942915375
"2","RSMS MOSUM (h=0.1)",2020-02-27,-12,55.6271644776508
"2","HAC WeightedCUSUM (gamma=0.15, InvSqrt)",2020-02-27,-12,15.4431121273682
"2","RSMS PageCUSUM (gamma=0)",2020-02-27,-12,10.7994462935737
"2","HAC WeightedCUSUM (gamma=0, InvSqrt)",2020-02-27,-12,9.50916699655156
"2","RSMS FullCUSUM (gamma=0.15)",2020-02-27,-12,3.37554384887773
"2","RSMS FullCUSUM (gamma=0)",2020-02-27,-12,3.34757648439746
"2","HAC MultiscaleMOSUM (H050_100_200, Equal)",2020-03-02,-10,18.090820304223
"2","HAC MOSUM (h=0.1)",2020-03-02,-10,16.2284444351841
"2","HAC PageCUSUM (gamma=0.15)",2020-03-02,-10,4.99043765575567
"2","HAC PageCUSUM (gamma=0)",2020-03-02,-10,3.50769983287037
"2","RSMS MOSUM (h=0.2)",2020-03-05,-7,29.686648582193
"2","HAC MOSUM (h=0.2)",2020-03-09,-5,9.21739303332108
"2","SSMS WeightedCUSUM (gamma=0.15, InvSqrt)",2020-03-17,1,1.2800385471518
"2","SSMS MultiscaleMOSUM (H050_100_200, Equal)",2020-03-17,1,1.2796993958244
"2","SSMS MOSUM (h=0.1)",2020-03-20,4,1.12813104706824
"2","HAC FullCUSUM (gamma=0.15)",2020-04-01,12,1.25098298993177
"2","HAC FullCUSUM (gamma=0)",2020-04-02,13,1.22802100663606
"5","RSMS MultiscaleMOSUM (H050_100_200, Equal)",2020-01-31,-30,66.8486316453635
"5","RSMS WeightedCUSUM (gamma=0.15, InvSqrt)",2020-02-24,-15,43.0729956707645
"5","RSMS WeightedCUSUM (gamma=0, InvSqrt)",2020-02-26,-13,26.8553850714021
"5","RSMS MOSUM (h=0.1)",2020-02-27,-12,50.6877517374265
"5","HAC WeightedCUSUM (gamma=0.15, InvSqrt)",2020-02-27,-12,14.4038604523841
"5","RSMS PageCUSUM (gamma=0.15)",2020-02-27,-12,12.9254450960422
"5","HAC WeightedCUSUM (gamma=0, InvSqrt)",2020-02-28,-11,8.46539181734702
"5","HAC MultiscaleMOSUM (H050_100_200, Equal)",2020-03-02,-10,17.1331836851806
"5","HAC MOSUM (h=0.1)",2020-03-02,-10,15.4819809930727
"5","RSMS PageCUSUM (gamma=0)",2020-03-02,-10,7.81418848149614
"5","HAC PageCUSUM (gamma=0.15)",2020-03-02,-10,4.07363353474022
"5","RSMS MOSUM (h=0.2)",2020-03-05,-7,26.1291624299453
"5","HAC PageCUSUM (gamma=0)",2020-03-06,-6,2.72100172647283
"5","HAC MOSUM (h=0.2)",2020-03-09,-5,8.53167421706076
"5","RSMS FullCUSUM (gamma=0.15)",2020-03-13,-1,2.77358070968716
"5","RSMS FullCUSUM (gamma=0)",2020-03-13,-1,2.56235918752024
"5","SSMS WeightedCUSUM (gamma=0.15, InvSqrt)",2020-03-17,1,1.17292461418607
"5","SSMS MultiscaleMOSUM (H050_100_200, Equal)",2020-03-17,1,1.1556151641633
"5","SSMS MOSUM (h=0.1)",2020-03-20,4,1.03247048178824
"5","HAC FullCUSUM (gamma=0.15)",2020-04-02,13,1.05792790619398
