"family","standardizer","detector","type","gamma","weight_name","bandwidth_h","omega_name","hset_name","scale_weight_name","method_group","method_label","method_id","alpha","statistic","critical_value","reject","first_rejection","T_value","T_label","q_used","m_train","training_start","training_end","monitoring_start","monitoring_end","first_rejection_date","trading_gap_from_2020_03_16","calendar_gap_from_2020_03_16","stat_over_cv","method_display"
"Benchmark","HAC","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0)","hac_fullcusum_gamma_0",0.05,3.47776623015893,5.33278029951652,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.652148791967716,"HAC, KS, gamma=0.00"
"Benchmark","HAC","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0)","hac_pagecusum_gamma_0",0.05,23.9328568656759,5.51968004051333,TRUE,41,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-03-02,-10,-14,4.33591380116485,"HAC, KS, gamma=0.00"
"Benchmark","HAC","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC FullCUSUM (gamma=0.15)","hac_fullcusum_gamma_0_15",0.05,4.28163246517978,6.80936633753537,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.628785742012157,"HAC, KS, gamma=0.15"
"Benchmark","HAC","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","HAC PageCUSUM (gamma=0.15)","hac_pagecusum_gamma_0_15",0.05,40.0106575142127,7.32361408493736,TRUE,41,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-03-02,-10,-14,5.46323946758793,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.1)","hac_mosum_h_0_1",0.05,215.09277276732,39.3746945528305,TRUE,41,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-03-02,-10,-14,5.46271597050033,"HAC, KS, gamma=NA"
"Benchmark","HAC","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","HAC MOSUM (h=0.2)","hac_mosum_h_0_2",0.05,193.411378327702,35.3660532526978,TRUE,45,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-03-06,-6,-10,5.46884259167223,"HAC, KS, gamma=NA"
"Benchmark","HAC","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0, InvSqrt)","hac_weightedcusum_gamma_0_invsqrt",0.05,61.256352387735,7.67926750077317,TRUE,39,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-27,-12,-18,7.97684836236888,"HAC, KS, gamma=0.00"
"Benchmark","HAC","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","HAC WeightedCUSUM (gamma=0.15, InvSqrt)","hac_weightedcusum_gamma_0_15_invsqrt",0.05,199.260944833477,13.3159582907584,TRUE,39,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-27,-12,-18,14.9640709652695,"HAC, KS, gamma=0.15"
"Benchmark","HAC","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","HAC MultiscaleMOSUM (H050_100_200, Equal)","hac_multiscalemosum_h050_100_200_equal",0.05,306.658720441745,40.8490487283405,TRUE,39,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-27,-12,-18,7.50712023873862,"HAC, KS, gamma=NA"
"Benchmark","SSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","SSMS FullCUSUM (gamma=0)","ssms_fullcusum_gamma_0",0.05,8.53628417697177,158.928870150953,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.0537113500452364,"SSMS, KS, gamma=0.00"
