"T_label","method_label","first_rejection_date","trading_gap_from_2020_03_16","stat_over_cv"
"1","RSMS KS (gamma=0)",2020-02-26,-13,1.98469955644416
"1","RSMS KS (gamma=0.15)",2020-02-26,-13,1.90138623089492
"1","RSMS weighted CvM [Late]",2020-03-13,-1,1.05486801098243
"2","RSMS KS (gamma=0.15)",2020-02-27,-12,3.35961814846632
"2","RSMS KS (gamma=0)",2020-02-27,-12,3.34007951030849
"2","RSMS weighted CvM [Mid]",2020-04-01,12,2.15976989854817
"2","RSMS weighted CvM [Early]",2020-04-01,12,1.71304276836563
"2","HAC KS (gamma=0.15)",2020-04-01,12,1.24781041540671
"2","HAC KS (gamma=0)",2020-04-02,13,1.22374554031737
"2","RSMS weighted CvM [U]",2020-04-07,16,2.10375404216251
"2","RSMS weighted CvM [Late]",2020-04-13,19,2.29346561372544
"5","RSMS KS (gamma=0.15)",2020-03-13,-1,2.7493407941644
"5","RSMS KS (gamma=0)",2020-03-13,-1,2.57467277257846
"5","HAC KS (gamma=0.15)",2020-04-02,13,1.0454540505307
"5","RSMS weighted CvM [Early]",2020-06-01,53,1.45680553992388
"5","RSMS weighted CvM [Mid]",2020-08-10,102,1.2433877818831
"5","RSMS weighted CvM [U]",2020-10-14,148,1.11857158525638
