"family","standardizer","detector","type","gamma","weight_name","bandwidth_h","omega_name","hset_name","scale_weight_name","method_group","method_label","method_id","alpha","statistic","critical_value","reject","first_rejection","T_value","T_label","q_used","m_train","training_start","training_end","monitoring_start","monitoring_end","first_rejection_date","trading_gap_from_2020_03_16","calendar_gap_from_2020_03_16","stat_over_cv","method_display"
"Main","HAC","Main","KS",0,"",NA,NA,NA,NA,"Main_KS","HAC KS (gamma=0)","hac_ks_gamma_0",0.05,3.47776623015893,5.33172710705515,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.652277612925278,"HAC, KS, gamma=0.00"
"Main","HAC","Main","KS",0.15,"",NA,NA,NA,NA,"Main_KS","HAC KS (gamma=0.15)","hac_ks_gamma_0_15",0.05,4.28163246517978,6.81925772128742,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.627873683643598,"HAC, KS, gamma=0.15"
"Main","HAC","Main","CvM",NA,"U",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [U]","hac_weighted_cvm_u",0.05,0.759109734333791,2.61823273443822,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.289932107390243,"HAC, U weight"
"Main","HAC","Main","CvM",NA,"Early",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [Early]","hac_weighted_cvm_early",0.05,0.409747182250684,1.89239087402382,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.216523545888505,"HAC, Early weight"
"Main","HAC","Main","CvM",NA,"Mid",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [Mid]","hac_weighted_cvm_mid",0.05,0.639350668225237,2.73201817541881,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.234021381694222,"HAC, Mid weight"
"Main","HAC","Main","CvM",NA,"Late",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [Late]","hac_weighted_cvm_late",0.05,1.1084722864169,3.389347783691,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.327045897075151,"HAC, Late weight"
"Main","SSMS","Main","KS",0,"",NA,NA,NA,NA,"Main_KS","SSMS KS (gamma=0)","ssms_ks_gamma_0",0.05,8.53628417697177,159.276688273056,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.053594058675665,"SSMS, KS, gamma=0.00"
"Main","SSMS","Main","KS",0.15,"",NA,NA,NA,NA,"Main_KS","SSMS KS (gamma=0.15)","ssms_ks_gamma_0_15",0.05,10.5093985752034,209.939656675001,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.050059139572056,"SSMS, KS, gamma=0.15"
"Main","SSMS","Main","CvM",NA,"U",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [U]","ssms_weighted_cvm_u",0.05,2.23484084139331,71.8261457088296,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.0311145867474633,"SSMS, U weight"
"Main","SSMS","Main","CvM",NA,"Early",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [Early]","ssms_weighted_cvm_early",0.05,1.40624604688235,52.1511541377719,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.0269648116160068,"SSMS, Early weight"
"Main","SSMS","Main","CvM",NA,"Mid",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [Mid]","ssms_weighted_cvm_mid",0.05,2.03219326123044,74.5724397741963,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.0272512642389584,"SSMS, Mid weight"
"Main","SSMS","Main","CvM",NA,"Late",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [Late]","ssms_weighted_cvm_late",0.05,3.06343563590427,92.9272344375606,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.0329659615337272,"SSMS, Late weight"
"Main","RSMS","Main","KS",0,"",NA,NA,NA,NA,"Main_KS","RSMS KS (gamma=0)","rsms_ks_gamma_0",0.05,8.82168028709425,4.44484418734864,TRUE,38,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-26,-13,-19,1.98469955644416,"RSMS, KS, gamma=0.00"
"Main","RSMS","Main","KS",0.15,"",NA,NA,NA,NA,"Main_KS","RSMS KS (gamma=0.15)","rsms_ks_gamma_0_15",0.05,10.8607624017711,5.71202327296716,TRUE,38,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-02-26,-13,-19,1.90138623089492,"RSMS, KS, gamma=0.15"
"Main","RSMS","Main","CvM",NA,"U",NA,NA,NA,NA,"Main_CvM","RSMS weighted CvM [U]","rsms_weighted_cvm_u",0.05,1.94862561200457,2.10532579675617,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.92556962680406,"RSMS, U weight"
"Main","RSMS","Main","CvM",NA,"Early",NA,NA,NA,NA,"Main_CvM","RSMS weighted CvM [Early]","rsms_weighted_cvm_early",0.05,1.02005454546724,1.54123389942739,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.661842790926295,"RSMS, Early weight"
"Main","RSMS","Main","CvM",NA,"Mid",NA,NA,NA,NA,"Main_CvM","RSMS weighted CvM [Mid]","rsms_weighted_cvm_mid",0.05,1.7780467026342,2.21830301705543,FALSE,NA,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,NA,NA,NA,0.80153463659549,"RSMS, Mid weight"
"Main","RSMS","Main","CvM",NA,"Late",NA,NA,NA,NA,"Main_CvM","RSMS weighted CvM [Late]","rsms_weighted_cvm_late",0.05,2.8771966785419,2.72754188067782,TRUE,50,1,"1",4,50,2019-10-21,2019-12-31,2020-01-02,2020-03-13,2020-03-13,-1,-3,1.05486801098243,"RSMS, Late weight"
"Main","HAC","Main","KS",0,"",NA,NA,NA,NA,"Main_KS","HAC KS (gamma=0)","hac_ks_gamma_0",0.05,8.74651438147419,7.1473309550986,TRUE,64,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-04-02,13,17,1.22374554031737,"HAC, KS, gamma=0.00"
"Main","HAC","Main","KS",0.15,"",NA,NA,NA,NA,"Main_KS","HAC KS (gamma=0.15)","hac_ks_gamma_0_15",0.05,10.4004583169314,8.33496674536212,TRUE,63,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-04-01,12,16,1.24781041540671,"HAC, KS, gamma=0.15"
"Main","HAC","Main","CvM",NA,"U",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [U]","hac_weighted_cvm_u",0.05,5.68077369251687,7.77294717204865,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.730839097034495,"HAC, U weight"
"Main","HAC","Main","CvM",NA,"Early",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [Early]","hac_weighted_cvm_early",0.05,3.59155499014801,5.91288353749535,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.607411758978999,"HAC, Early weight"
"Main","HAC","Main","CvM",NA,"Mid",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [Mid]","hac_weighted_cvm_mid",0.05,6.23322306888337,8.22544486834398,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.757797683730424,"HAC, Mid weight"
"Main","HAC","Main","CvM",NA,"Late",NA,NA,NA,NA,"Main_CvM","HAC weighted CvM [Late]","hac_weighted_cvm_late",0.05,7.76999239488572,9.75159184603738,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.796792207627425,"HAC, Late weight"
"Main","SSMS","Main","KS",0,"",NA,NA,NA,NA,"Main_KS","SSMS KS (gamma=0)","ssms_ks_gamma_0",0.05,21.8756772679331,209.74933718042,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.104294380911994,"SSMS, KS, gamma=0.00"
"Main","SSMS","Main","KS",0.15,"",NA,NA,NA,NA,"Main_KS","SSMS KS (gamma=0.15)","ssms_ks_gamma_0_15",0.05,26.0123129805492,251.56739058411,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.103400973075849,"SSMS, KS, gamma=0.15"
"Main","SSMS","Main","CvM",NA,"U",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [U]","ssms_weighted_cvm_u",0.05,16.2246812398844,209.990291824603,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.0772639587235597,"SSMS, U weight"
"Main","SSMS","Main","CvM",NA,"Early",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [Early]","ssms_weighted_cvm_early",0.05,10.3063032752572,161.394405192266,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.0638578720432071,"SSMS, Early weight"
"Main","SSMS","Main","CvM",NA,"Mid",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [Mid]","ssms_weighted_cvm_mid",0.05,17.4330859007962,222.123274859265,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.0784838325107606,"SSMS, Mid weight"
"Main","SSMS","Main","CvM",NA,"Late",NA,NA,NA,NA,"Main_CvM","SSMS weighted CvM [Late]","ssms_weighted_cvm_late",0.05,22.1430592045115,263.47073842631,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.0840437133048258,"SSMS, Late weight"
"Main","RSMS","Main","KS",0,"",NA,NA,NA,NA,"Main_KS","RSMS KS (gamma=0)","rsms_ks_gamma_0",0.05,19.9344811322063,5.96826544717949,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,3.34007951030849,"RSMS, KS, gamma=0.00"
"Main","RSMS","Main","KS",0.15,"",NA,NA,NA,NA,"Main_KS","RSMS KS (gamma=0.15)","rsms_ks_gamma_0_15",0.05,23.704041523593,7.05557610302051,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,3.35961814846632,"RSMS, KS, gamma=0.15"
"Main","RSMS","Main","CvM",NA,"U",NA,NA,NA,NA,"Main_CvM","RSMS weighted CvM [U]","rsms_weighted_cvm_u",0.05,13.335137856515,6.33873427656373,TRUE,67,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-04-07,16,22,2.10375404216251,"RSMS, U weight"
