"T","Method","Gamma","Statistic","Critical value","Stat./CV","Reject?","First signal"
1,"HAC","gamma=0.00","3.48","5.33","0.65","No","No signal"
1,"HAC","gamma=0.15","4.28","6.82","0.63","No","No signal"
1,"RSMS","gamma=0.00","8.82","4.44","1.98","Yes","26 Feb 2020"
1,"RSMS","gamma=0.15","10.86","5.71","1.90","Yes","26 Feb 2020"
1,"SSMS","gamma=0.00","8.54","159.28","0.05","No","No signal"
1,"SSMS","gamma=0.15","10.51","209.94","0.05","No","No signal"
2,"HAC","gamma=0.00","8.75","7.15","1.22","Yes","02 Apr 2020"
2,"HAC","gamma=0.15","10.40","8.33","1.25","Yes","01 Apr 2020"
2,"RSMS","gamma=0.00","19.93","5.97","3.34","Yes","27 Feb 2020"
2,"RSMS","gamma=0.15","23.70","7.06","3.36","Yes","27 Feb 2020"
2,"SSMS","gamma=0.00","21.88","209.75","0.10","No","No signal"
2,"SSMS","gamma=0.15","26.01","251.57","0.10","No","No signal"
5,"HAC","gamma=0.00","8.75","9.12","0.96","No","No signal"
5,"HAC","gamma=0.15","10.40","9.95","1.05","Yes","02 Apr 2020"
5,"RSMS","gamma=0.00","19.93","7.74","2.57","Yes","13 Mar 2020"
5,"RSMS","gamma=0.15","23.70","8.62","2.75","Yes","13 Mar 2020"
5,"SSMS","gamma=0.00","21.88","271.41","0.08","No","No signal"
5,"SSMS","gamma=0.15","26.01","299.98","0.09","No","No signal"
